id,gvkey,conm,year,cdp_target_reference,cdp_targetscope,cdp_targetscope_percent,cdp_targetamount,cdp_baseyear,cdp_baseyearemission,cdp_targetyear,cdp_sbt,cdp_targetdetail,cdp_timeprogress,cdp_targetprogress,cdp_startyear,cdp_targetstatus,cdp_targetduration,cdp_targettype,cdp_targetintensityunit,dupcase
304,024216,AES CORP (THE),2021,Int 1,Scope 1,100,75,2016,1,2030,"No, but we anticipate setting one in the next 2 years",We have set a company-wide target to achieve Scope 1 carbon intensity in-line with a well below 2°C  scenario based on renewables growth and the feasibility of multiple possible asset scenarios. Sectoral Decarbonization Approach target for power generation of 0.16 tCO2e/MWh based on 2016 baseline and modeled 2030 portfolios.,0,17,2020,Underway,10,intensity,Metric tons CO2e per megawatt hour (MWh),0
304,024216,AES CORP (THE),2015,Abs1,Scope 1+2,10,10,2011,189042,2016,,"This is a 10% reduction target for combined Scope 1 + 2 emissions for our Brazil SBU business for the 5 year period beginning with the base year of 2011 and ending in 2016. Note that the percent in emission in scope given represents only the AES Brazil SBU and that the base year emission value has not been adjusted for AES equity ownership.
AES Brazil GHG Inventory depends on the Brazilian Grid Emission Factor (EF). This EF varies every month, according to the energy type (hydro/wind/thermo, etc) dispatched to the grid. Thus, for emission reduction calculation, a base year projection is utilized for target checking, in percentage (%) and not in tonnes of CO2e (tCO2e).",60,87,,,,absolute,,0
304,024216,AES CORP (THE),2012,,,,,,,,,,,,,,,intensity,,0
304,024216,AES CORP (THE),2017,Abs1,Scope 2 (location-based),9,3,2016,374374,2017,"No, and we do not anticipate setting one in the next 2 years","This target refers to AES Eletropaulo in Brazil SBU. Because Brazil's grid emission factors vary every month, AES Eletropaulo has elected to set their Scope 2 emission reduction targets in terms of energy units (GWh) as opposed to actual reductions in metric tonnes CO2e. The target disclosed here reflects Brazil's efforts to reduce emissions from total losses only. The CO2e emissions of baseline year were calculated using the emission factors published by the Brazilian Science and Technology Ministry and actual total losses in 2016. A further discussion on AES Eletropaulo's progress towards these targets can be found in their 2016 Sustainability Report.",0,0,,,,absolute,,0
304,024216,AES CORP (THE),2019,Int 1,Scope 1,100,27,2018,15865208,2023,"No, and we do not anticipate setting one in the next 2 years",The target refers to the CO2 equity adjusted emissions of AES Gener. Since the target was established in 2018 there is no achievement against target to report.,0,0,2018,New,5,intensity,"Other, please specify: Metric tons CO2/MWh",0
304,024216,AES CORP (THE),2013,1,Scope 1+2,10,20,2011,190938,2016,,The target specified is currently limited to our four businesses in Brazil.,20,20,,,,absolute,,0
304,024216,AES CORP (THE),2014,Abs1,Scope 1+2,10,10,2011,182191,2016,,This is a 10% reduction target for combined Scope 1 + 2 emissions for our Brazil SBU business for the 5 year period beginning with the base year of 2011 and ending in 2016. Note that the percent in emission in scope given represents only the AES Brazil SBU and that the base year emission value has not been adjusted for AES equity ownership.,40,20,,,,absolute,,0
304,024216,AES CORP (THE),2020,Abs 1,Scope 2 (location-based),100,2,2016,800567,2019,"No, and we do not anticipate setting one in the next 2 years","In Brazil, the scope 2 emissions estimation depends on the Brazilian grid Emission Factor (EF). This EF varies every month, according to the energy type (hydro/wind/solar/coal) dispatched to the grid. Thus, it is not possible to establish any absolute or relative target for scope 2 in tCO2e. In this case, the energy reduction is calculated in MWh and then, the avoided emissions are estimated using the current EF.",100,2969,2016,Achieved,3,absolute,,0
304,024216,AES CORP (THE),2022,Int 1,Scope 1,100,75,2016,1,2030,"No, but we anticipate setting one in the next 2 years",We have set a company-wide target to achieve Scope 1 carbon intensity in-line with a well below 2°C  scenario based on renewables growth and the feasibility of multiple possible asset scenarios. Sectoral Decarbonization Approach target for power generation of 0.16 tCO2e/MWh based on 2016 baseline and modeled 2030 portfolios.,10,17,2020,Underway,10,intensity,Metric tons CO2e per megawatt hour (MWh),0
304,024216,AES CORP (THE),2018, Int 1, Scope 1,15,25,2016,12599494,2021," No, and we do not anticipate setting one in the next 2 years","The target is for AES business in Chile.  The deadline to meet the target is 2021, an important advance is expected in the coming years.",0,2,2017, Underway,4,intensity, Metric tons CO2e per megawatt hour (MWh)*,0
304,024216,AES CORP (THE),2020,Int 1,Scope 1,100,36,2018,1,2024,"No, and we do not anticipate setting one in the next 2 years",The target refers to the CO2 emissions of AES Gener on a full basis.,17,-9,2018,Underway,6,intensity,Metric tons CO2e per megawatt hour (MWh),0
304,024216,AES CORP (THE),2018, Abs 1, Scope 2 (location-based) ,0,12,2016,688,2017," No, but we anticipate setting one in the next 2 years","In Brazil, the scope 2 emissions estimation depends on the Brazilian grid Emission Factor (EF). This EF varies every month, according to the energy type (hydro/wind/solar/coal) dispatched to the grid. Thus, it is not possible to establish any absolute or relative target for scope 2 in tCO2e. In this case, the energy reduction is calculated in MWh and then, the avoided emissions are estimated using the current EF.",,100,2017, New,0,absolute,,0
304,024216,AES CORP (THE),2012,,,,,,,,,,,,,,,absolute,,0
304,024216,AES CORP (THE),2019,Abs 1,Scope 2 (location-based),100,12,2016,800567,2018,"No, and we do not anticipate setting one in the next 2 years","In Brazil, the scope 2 emissions estimation depends on the Brazilian grid Emission Factor (EF). This EF varies every month, according to the energy type (hydro/wind/solar/coal) dispatched to the grid. Thus, it is not possible to establish any absolute or relative target for scope 2 in tCO2e. In this case, the energy reduction is calculated in MWh and then, the avoided emissions are estimated using the current EF.",,0,2018,New,0,absolute,,0
304,024216,AES CORP (THE),2016,Abs1,Scope 2 (location-based),1,7,2014,3721,2019,"No, and we do not anticipate setting one in the next 2 years","This target refers to the three operations in Brazil SBU - Tiete, Eletropaulo and Sul. 
Because Brazil's grid emission factors vary every month, AES Brazil has elected to set their Scope 2 emission reduction targets in terms of energy units (MWh) as opposed to actual reductions in metric tonnes CO2e. The target disclosed here reflects Brazil's efforts to reduce own energy consumption only. The CO2e emissions of baseline year were calculated using the IEA average grid emission factor for Brazil and actual non-AES energy consumption for own use at four AES Brazil businesses (T&amp;D losses were not included in the target displayed). A further discussion on AES Brazil's progress towards these targets can be found in their 2015 Sustainability Report.",20,48,,,,absolute,,0
