Rank,Name,Type,Public,Ticker,GVKEY,CUSIP,HD Country,Note
1,Duke Energy,,Yes,DUK,,,,
2,Vistra Energy ,,Yes,VST,,,,
3,NextEra Energy ,,Yes,NEE,,,,
4,Exelon ,,Yes,EXC,,,,
5,Southern Company,,Yes,SO,,,,
6,Tennessee Valley Authority ,Government,,,,,,
7,Entergy ,,Yes,ETR,,,,
8,Berkshire Hathaway Energy ,,,,,,,Subsidiary of Berkshire Hathaway
9,Energy Capital Partners ,Investment,,,,,,
10,AEP ,,Yes,AEP,,,,
11,Dominion Energy,,Yes,D,,,,
12,U.S. Army Corps of Engineers (USACE),Government,,,,,,
13,Xcel,,Yes,XEL,,,,
14,FirstEnergy ,,Yes,FE,,,,
15,PSEG,,Yes,PEG,,,,
16,NRG,,Yes,NRG,,,,
17,Riverstone ,,,,,,,
18,US Bureau of Reclamation ,Government,,,,,,
19,DTE Energy ,,Yes,DTE,,,,
20,Ameren ,,Yes,AEE,,,,
21,LS Power,,,,,,,
22,Evergy,,Yes,EVRG,,,,
23,PPL,,Yes,PPL,,,,
24,Salt River Project ,Government,,,,,,
25,ArcLight Capital ,Investment,,,,,,
26,PG&E,,Yes,PCG,,,,
27,WEC Energy Group,,Yes,WEC,,,,
28,CPS Energy ,Government,,,,,,
29,New York Power Authority ,Government,,,,,,
30,EDF,Government,,,,,France,
31,Panda Power Funds,Investment,,,,,,
32,Pinnacle West ,,Yes,PNW,,,,
33,Emera,,Yes,EMA,,,Canada,
34,Oglethorpe Power,,,,,,,
35,Associated Electric Coop ,,,,,,,
36,SCANA Energy,,,,,,,"In January 2019, SCANA was acquired by Dominion Energy."
37,Alliant Energy,,Yes,LNT,,,,
38,CMS Energy,,Yes,CMS,,,,
39,Basin Electric Power Coop,,,,,,,
40,Avangrid,,Yes, AGR,,,,
41,AES,,Yes,AES,,,,
42,Santee Cooper,Government,,,,,,
43,Invenergy,,,,,,,
44,OGE,,Yes,OGE,,,,
45,The Blackstone Group,Investment,Yes,BX,,,,
46,Advanced Rail Energy Storage (ARES),,,,,,,
47,NE Public Power District ,Government,,,,,,
48,Brookfield,Investment,Yes,BN,,,Canada,
49,EDP - Energias de Portugal,Government,Yes,EDP,,,Portugal,
50,IDACORP,,Yes,IDA,,,,
51,Portland General Electric ,,Yes,POR,,,,
52,Lower CO River Authority ,Government,,,,,,
53,GenOn ,,,,,,,
54,Fortis,,Yes,FTS,,,Canada,Toronto Stock Exchange
55,NiSource,,Yes,NI,,,,
56,Municipal Elec. Auth. of GA,Government,,,,,,
57,EON,,Yes,EOAN,,,Germany,Frankfurt Stock Exchange
58,Clearway Energy,,Yes,CWEN,,,,
59,The Carlyle Group,Investment,Yes,CG,,,,
60,Edison International,,Yes,EIX,,,,
61,Arkansas Electric Coop,,,,,,,
62,Tenaska,,,,,,,
63,Starwood Energy,,,,,,,
64,Seminole Electric Coop,,,,,,,
65,Omaha Public Power District,Government,,,,,,
66,Puget Holdings,Investment,,,,,,Acquired Puget Energy and its subsidaries in 2009
67,CLECO,,Yes,CNL,,,,Sold to a foreign purchasing group in 2016 and operated as a private company since then.
68,Exxon Mobil,,Yes,XOM,,,,
69,Tri-State,,,,,,,
70,PUD No2 of Grant County,Government,,,,,,
71,Energy Northwest,Government,,,,,,
72,El Paso Electric,,Yes,EE,,,,"Acquired by the Infrastructure Investments Fund (IIF) in 2020, after which it became a privately held company."
73,JEA,Government,,,,,,
74,PNM Resources,,Yes,PNM,,,,
75,ALLETE,,Yes,ALE,,,,
76,Great River Energy,,,,,,,
77,Occidental Power Services,,,,,,,Not Occidental Petroleum Corporation
78,Austin Energy ,Government,,,,,,
79,Buckeye Power,,,,,,,
80,OMERS,Investment,,,,,Canada,
81,General Electric,,Yes,GE,,,,
82,PUD No1 of Grant County,Government,,,,,,
83,Los Angeles City ,Government,,,,,,
84,Dow Chemical,,Yes,DOW,,,,
85,East Kentucky Power Coop ,,,,,,,
86,Algonquin Power,,Yes,AQN,,,Canada,
87,Edgewater Generation,,,,,,,
88,ConEdison,,Yes,ED,,,,
89,Intermountain Power Agency ,,,,,,,
90,Old Dominion Electric Coop ,,,,,,,
91,International Paper,,Yes,IP,,,,
92,Enel,Government,Yes,ENEL,,,Italy,Italian Stock Exchange
93,Avista,,Yes,AVA,,,,
94,NC Public Power,Government,,,,,,
95,Sacramento Municipal Util Dist,Government,,,,,,
96,North Carolina EMC,,,,,,,
97,John Hancock,Investment,,,,,,Sybsidiary of pubic firm Manulife Financial Corporation
98,Hoosier Energy,,,,,,,
99,PowerSouth Energy Coop ,,,,,,,
100,Seattle City Light ,Investment,,,,,,
