Year,AL RPS,AL RPS Policy,AK RPS,AK RPS Policy,AZ RPS,AZ RPS Policy,AR RPS,AR RPS Policy,CA RPS,CA RPS Policy,CO RPS,CO RPS Policy,CT RPS,CT RPS Policy,DE RPS,DE RPS Policy,DC RPS,DC RPS Policy,FL RPS,FL RPS Policy ,GA RPS,GA RPS Policy,HI RPS,HI RPS Policy,ID RPS,ID RPS Policy,IL RPS,IL RPS Policy,IN RPS,IN RPS Policy,IA RPS,IA RPS Policy,KS RPS,KS RPS Policy,KY RPS,KY RPS Policy,LA RPS,LA RPS Policy,ME RPS,ME RPS Policy,MD RPS,MD RPS Policy,MA RPS,MA RPS Policy,MI RPS,MI RPS Policy,MN RPS,MN RPS Policy ,MS RPS,MS RPS Policy,MO RPS,MO RPS Policy,MT RPS,MT RPS Policy,NE RPS,NE RPS Policy,NV RPS,NV RPS Policy,NH RPS,NH RPS Policy,NJ RPS,NJ RPS Policy,NM RPS,NM RPS Policy,NY RPS ,NY RPS Policy,NC RPS,NC RPS Policy,ND RPS,ND RPS Policy,OH RPS,OH RPS Policy,OK RPS,OK RPS Policy ,OR RPS,OR RPS Policy,PA RPS,PA RPS Policy,RI RPS ,RI RPS Policy ,SC RPS,SC RPS Policy ,SD RPS,SD RPS Policy ,TN RPS,TN RPS Policy,TX RPS,TX RPS Policy ,UT RPS,UT RPS Policy ,VT RPS,VT RPS Policy ,VA RPS,VA RPS Policy,WA RPS,WA RPS Policy ,WV RPS,WV RPS Policy,WI RPS,WI RPS Policy ,WY RPS,WY RPS Policy 
2005,N,NA,N,NA,N,,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,N,,N,NA,N,NA,Y,,Y,,Y,,N,,N,,N,NA,N,,Y,,N,NA,Y,,N,,Y,,N,,Y,,N,,N,NA,N,,N,NA,N,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,N,,N,NA,Y,,N,NA
2006,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,N,,N,NA,N,NA,Y,,Y,,Y,,N,,N,,N,NA,N,,Y,,N,NA,Y,,N,,Y,,N,,Y,,N,,N,NA,N,,N,NA,N,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,N,NA,Y,,N,NA
2007,N,NA,N,NA,Y,15%,N,NA,Y,,Y,3%,Y,,Y,,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,N,,N,NA,N,NA,Y,,Y,,Y,,N,,Y,,N,NA,N,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,N,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,N,NA,Y,,N,NA
2008,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,N,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,N,NA,Y,,N,NA
2009,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
2010,N,NA,N,NA,Y,15%,N,NA,Y,20%,Y,,Y,,Y,5%,Y,,N,NA,N,NA,Y,10%,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
2011,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,7%,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,5%,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
2012,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,8.50%,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
2013,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,10%,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
2014,N,NA,N,NA,Y,15%,N,NA,Y,,Y,,Y,,Y,12%,Y,,N,NA,N,NA,Y,,N,NA,Y,,N,NA,Y,,Y,,N,NA,N,NA,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,Y,,N,NA,Y,,Y,,Y,,Y,,Y,,Y,,N,NA,Y,,N,NA,Y,,Y,,Y,,N,NA,N,NA,N,NA,Y,,N,NA,N,,N,,Y,,Y,NA,Y,,N,NA
