,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons
capacity_factor_bucket,,0.00-0.05,0.05-0.10,0.10-0.15,0.15-0.20,0.20-0.25,0.25-0.30,0.30-0.35,0.35-0.40,0.40-0.45,0.45-0.50,0.50-0.55,0.55-0.60,0.60-0.65,0.65-0.70,0.70-0.75,0.75-0.80,0.80-0.85,0.85-0.90,0.90-0.95,0.95-1.00
capacity_mw_bucket,year,,,,,,,,,,,,,,,,,,,,
0000-0149,2028,1.3840980953373336,1.0971131494996824,0.966943104319604,1.075598661536943,1.2346482754914638,1.410178374011952,0.3525834004022107,1.9389372953816424,0.8970630288420479,1.0467003138341315,0.5084595062704413,0.26892532429051347,0.05026724636524039,0.027272729471056897,1.0498601732472932,0.5770391658924432,11.936810907350923,0.0,0.0,0.0
0000-0149,2030,1.3537131943260283,0.6780761617268768,1.014674639602384,1.9693846020856103,3.0889728025414853,1.3337267934440082,0.30470967571505697,1.3939307318846366,1.721471444784534,1.2603778008177093,0.2420410880240285,0.9365337050307936,0.9542002954161154,0.9571413042685442,1.1755508311728726,0.7386781226427872,11.281737933685337,0.0,0.0,0.0
0000-0149,2035,0.8916172735667575,0.4574713562425949,0.6963307936044332,0.8218541802626723,1.356590281509198,0.754637187987518,1.4797679862548019,0.5730642629839695,1.076021146402908,1.4207122057263195,0.24064201048858413,1.4918752099639303,0.8233872389560561,1.3994544661126356,0.3209733177934381,1.4803066203234974,7.431971088277494,0.0,0.0,0.0
0000-0149,2040,0.45472399934381436,0.6651139239739748,0.34085791215957006,0.7308260255811552,1.8510212673227455,0.35530577627028775,0.66005030642979,0.5693319563981303,1.1969839852476327,0.5052465800976218,0.0036212680454575795,0.689880150799142,0.4592456417209052,0.4467272935308507,0.04473360509410019,0.6484599317000448,5.986312446558228,0.0,0.0,0.0
0000-0149,2045,0.47718458990033036,0.44731430364320546,0.8013713283585072,0.6282577290001581,1.1928670055290653,1.0006673673894508,0.364031116386972,0.6212565268926865,0.019784197662804273,1.0424865026728416,0.5484238460119555,0.11432960340867512,0.11808854160558727,0.1897588267470762,0.009714297828276992,0.005136272847332957,4.161305955484798,0.0,0.0,0.0
0000-0149,2050,0.5527860154188854,0.7237232582200845,0.5521908660133579,0.14914559188547594,0.7683674451035862,0.3870025000287192,0.8728354651870806,1.2183102977654443,0.4746560445341289,0.2987373733436458,0.37157346202840935,0.3680931259333679,0.5507683614237766,0.03972949641042913,0.02321068027272979,0.025888131995782493,3.0907343292504734,0.0,0.0,0.0
0000-0149,2055,0.4390442140300878,0.8525457380491127,0.55049385926314,0.42410657921408607,0.6865456987524917,0.26796917642268897,0.6814040746446118,1.6809691021340718,0.257678793129431,0.3203961021319793,0.25150541552493433,0.8856390457253185,0.08182096096881684,0.4037953646159886,0.02321068027272979,0.025891275737558363,2.61436640541932,0.0,0.0,0.0
0150-0299,2028,1.688090628836214,0.9233727041678879,0.6731737612783579,0.6091693771584326,2.70935954565765,1.6112894969007077,0.960545585379431,0.8136063216269964,3.4536285458589697,1.196115236867072,0.9811867923083804,1.2282256724618705,0.0,0.3824783299598607,0.0,0.673660755085201,15.247458178146484,0.0,0.0,0.0
