,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline
fuel_cat,year,,,,,,,,,
coal,2028,460.8484827856111,464.5654781525703,475.9319779228913,468497.033486254,472245.492582215,484019.332729048,0.4090878694496616,0.41447313800621766,0.4162804242686865
coal,2030,92.74468948967505,95.1021859910808,246.2564939210713,165569.025815785,168506.271357267,308611.999236827,0.27839259334042393,0.28172219327024667,0.37467588743609115
coal,2035,13.307138222422989,13.420233056161855,55.02486972905754,85440.86342317,86023.082303074,119552.233863497,0.31746191788542166,0.3179130844356127,0.2572293085442572
coal,2040,9.074237142766817,9.685770531586575,32.91619573047146,61144.728290268,65317.367144074,78791.030543708,0.3083941722268166,0.3095149430199105,0.23121928023228544
coal,2045,0.428273744319619,0.4612131626890769,19.558646220231932,2233.1701689760002,2266.486993411,22360.095860791,0.11936614219937311,0.12134301065418072,0.12888377806768894
coal,2050,0.34846024382708357,0.3512607946713195,4.578807954232361,2107.199053092,2117.581449143,6125.853543316,0.06263229026320724,0.07296799768599584,0.06365386797667125
coal,2055,0.3557308486086909,0.37212197808218433,8.340921541150431,2113.53740581,2135.89419574,9655.02237609,0.06780708079506391,0.0868713573947712,0.08702680784556585
hydro,2028,0.0,0.0,0.0,295097.4423531617,294404.3608851317,293952.5462192297,0.3639596980493075,0.363724401492831,0.36330891210208305
hydro,2030,0.0,0.0,0.0,302613.1710289197,302503.7985539887,302760.0157595867,0.3727528867752892,0.37271736567428315,0.3727573109883024
hydro,2035,0.0,0.0,0.0,325316.29791415966,327789.0812469097,328683.14647064864,0.387570566148138,0.38846435505069693,0.388961979636082
hydro,2040,0.0,0.0,0.0,345093.4129058557,346026.26950004365,345703.9091999677,0.4112965843742368,0.41164902480480847,0.4110757476906299
hydro,2045,0.0,0.0,0.0,343228.5961015137,344095.4091583197,344572.1603344247,0.4098190548944039,0.4106042788199128,0.4100688473349455
hydro,2050,0.0,0.0,0.0,345587.61977383465,346834.23029021267,346773.57549029466,0.40829516732819915,0.4091042986783352,0.40867085246576457
hydro,2055,0.0,0.0,0.0,347459.42023079767,349498.0360117617,349112.1959964547,0.4074539085129818,0.4085170738797001,0.40793638231715484
hydrogen,2030,,0.0,,,420.2161308,,,0.20584109578460424,
hydrogen,2035,0.0,0.0,0.0,79128.68628911601,33119.280578868,1076.0244789600001,0.18319497139761717,0.26954297111623127,0.20070889645315948
hydrogen,2040,0.0,0.0,,42039.919152352,38298.080294404994,,0.3158387660567428,0.242761856008767,
hydrogen,2045,0.0,0.0,,11488.464064378,9090.628524986,,0.18201011334669528,0.1124774156431812,
hydrogen,2050,0.0,0.0,0.0,14037.023454037,12295.958065084998,54.474342052,0.1187134054189189,0.09343019200854592,0.0012825233875543337
hydrogen,2055,0.0,0.0,0.0,20333.800397079,15919.34311773,81.188037232,0.1770093801735706,0.11616337575193454,0.001433281879803509
natural_gas,2028,715.9815977031224,715.4856005486639,712.9536449719322,1817279.4043300732,1813538.16442595,1803911.12389408,0.22915310217893634,0.23068346927588795,0.23111635715267823
natural_gas,2030,758.2610623586705,759.6185268307199,697.7730919241935,1933352.1511961631,1930612.193684773,1804612.5588726972,0.25364479718351357,0.2559334982885323,0.23474165534878952
natural_gas,2035,517.7495556168058,531.7006486412408,526.6483766713687,1371837.313802385,1405773.279226181,1419098.037173412,0.21098969536020878,0.17529966493212715,0.17516907896857123
natural_gas,2040,410.78282123852784,422.5896819906741,422.94349146213466,1104733.784628209,1138449.491838234,1167380.201426514,0.16711620549012496,0.1302623253453527,0.1307041723086927
natural_gas,2045,357.02060445400804,361.6622576093649,361.78353781950597,953972.049067904,967094.676796918,973049.4534456481,0.13941709389502188,0.108945912724731,0.10423714337830615
natural_gas,2050,321.9358121855681,331.35059892259954,329.0369259798059,848241.5353044721,871651.380532662,877181.6941946311,0.12451328890445552,0.10073875857388005,0.09668069021086709
natural_gas,2055,354.5655981129144,358.4461403218948,360.01363452028113,925883.4568608991,933755.7229212881,953060.4038450401,0.1277149018593235,0.10457937860384942,0.0979904895260508
nonfossil_nonren,2028,32.254443881796504,32.11763411108427,33.404590344255936,48328.687573666,48021.400577036,49392.31855772,0.6281936803299109,0.6256478075183192,0.6307779247435401
nonfossil_nonren,2030,27.896542726502148,27.76786356779732,27.647856807197183,44827.560627103,44519.239506368,44515.998248487,0.608842307417891,0.6079796554192543,0.6013711907859974
nonfossil_nonren,2035,26.57023438011616,26.430271617915718,26.589080353317904,43180.001486161,42849.721560807,43149.410273036,0.5886106261601591,0.5886711785365745,0.5846406105254682
nonfossil_nonren,2040,25.659251616397114,25.392550664884617,25.496392141516683,41767.870860363,41250.470916063,41380.876984391,0.5534793103739182,0.5585779695609081,0.5470834860949649
nonfossil_nonren,2045,24.55938361131477,24.40532234268225,24.372548880431722,39630.292793805,39271.794273883,39238.7152644,0.5282355718329983,0.5282791785161501,0.522082517702212
nonfossil_nonren,2050,23.40874828040129,22.943339018567386,23.008668109448873,37678.769010716,36876.848774511,36979.781701713,0.48490122221004606,0.48176389028488226,0.4764938250540044
nonfossil_nonren,2055,23.34759850610261,22.958537311451877,22.98110020261149,37653.372165077,36955.827156625,37017.177044805,0.482378866575255,0.48086870527438175,0.47606928397335224
nuclear,2028,0.0,0.0,0.0,765259.907898528,765259.907898528,765259.907898528,0.9143281446965305,0.9143281446965305,0.9143281446965305
nuclear,2030,0.0,0.0,0.0,733729.59353928,733729.59353928,733729.59353928,0.9131140218533496,0.9131140218533496,0.9131140218533496
nuclear,2035,0.0,0.0,0.0,661007.712981292,660437.851731748,660347.521420764,0.9039933766560023,0.9033478297187021,0.9032455957568153
nuclear,2040,0.0,0.0,0.0,618298.686519854,616236.989841548,615811.558948678,0.8936133676482477,0.8910113958012634,0.8904908659007055
nuclear,2045,0.0,0.0,0.0,495196.042471713,494931.570432418,494899.364318282,0.8731861200064152,0.8723856561644802,0.872728924980062
nuclear,2050,0.0,0.0,0.0,342088.76985325,339554.457733663,339508.640410956,0.8570022908327911,0.8518351979755124,0.8517243841040749
nuclear,2055,0.0,0.0,0.0,216087.32075570698,213483.814157525,214893.936294836,0.8649261273528653,0.853245732758206,0.8602153534839772
oil,2028,0.01328743332598953,0.013935767367018004,0.01379925754683045,12.21714126,12.670363789,12.496813335,3.600238152550708e-05,4.605672242279786e-05,4.221910582965491e-05
oil,2030,0.01090004550853062,0.01098161248991179,0.012738610151970732,11.473365573,11.556846883,13.356860817,3.8663548053283324e-05,3.88764091508155e-05,3.936513436524462e-05
oil,2035,0.0004663907821186716,0.0003987852622338402,0.0008368150089429326,0.496124112,0.42565474600000003,0.946016362,9.44440677205417e-06,8.015907385430088e-06,1.5127545423938533e-05
oil,2040,0.00048017214714575355,0.0004925382369698506,0.0004925382369698506,0.595491845,0.6112133550000001,0.6112133550000001,7.962610951229422e-06,9.816636800617382e-06,9.816636800617382e-06
oil,2045,0.0007048480033300231,0.0008823625622615612,0.0008994817960151928,0.85395684,1.06439937,1.0817559540000001,1.2200114614199899e-05,1.535298986040001e-05,1.597105509434883e-05
oil,2050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil,2055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
renewables,2028,0.0,0.0,0.0,1103046.3495112956,1104837.8865108783,1104963.1495723312,0.25645057526406334,0.25597938942420567,0.25555135653423056
renewables,2030,0.0,0.0,0.0,1462644.4677780839,1462375.1890006491,1453147.6566194948,0.2747566675811848,0.2744100815395796,0.273171072083123
renewables,2035,0.0,0.0,0.0,2433276.837727613,2451966.7094948,2449966.9237072985,0.2899367969495765,0.2910488350318171,0.2926780327711995
renewables,2040,0.0,0.0,0.0,3193085.0421479684,3162798.211503797,3178903.077399594,0.3035578269946264,0.30267810784617627,0.3033093293654382
renewables,2045,0.0,0.0,0.0,3971119.1879458497,3964691.9784896346,3951506.864589411,0.3107748467742463,0.3107798408314859,0.3105787284146626
renewables,2050,0.0,0.0,0.0,4702330.445911544,4689731.098890564,4698082.004115348,0.31442982606939535,0.3150600641604646,0.3148136837122677
renewables,2055,0.0,0.0,0.0,5170872.922393215,5184321.097723577,5171666.886051813,0.31655913445652734,0.31607849407841415,0.3164935361918391
total,2028,1209.097811803856,1212.1826485796855,1222.3040124966262,4497521.042294239,4498319.883243528,4501510.875684272,0.30787271112045766,0.3087377161103704,0.3100728027629804
total,2030,878.9131946203563,882.499558002088,971.690181262614,4642747.443350907,4642678.058620009,4647391.17913719,0.31081792645874035,0.3120792825351408,0.3063087866537072
total,2035,557.6273946101271,571.5515521005807,608.2631635687532,4999188.209748008,5007959.431797134,5021874.243403979,0.28853245013191614,0.27681485416217677,0.27592667314456704
total,2040,445.51679016983894,457.66849572538223,481.3565718723598,5406164.039996715,5408377.49225152,5427971.265716207,0.270426610837868,0.2574617122070581,0.2556799001809064
total,2045,382.0089666576458,386.5296754772985,405.71563240196565,5816868.656570979,5821443.60906894,5825627.735568911,0.2535870291398766,0.24400979318396165,0.24077338739127507
total,2050,345.6930207097965,354.6451987358383,356.6244020434872,6292071.362360946,6299061.555735841,6304706.02379831,0.2425517172174948,0.2360856338084195,0.23337769765482136
total,2055,378.2689274676257,381.7767996114289,391.33565626404305,6720403.830208585,6736069.735284247,6735486.80964627,0.2428756647579615,0.23618488674180962,0.23315229612396648
