,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,integrated_proposal,proposal,integrated_proposal,proposal
fuel_cat,year,,,,,,
coal,2028,-0.031692543970483045,-0.02388261410785586,-0.03206958522766967,-0.024325144370677343,-0.017278148093705537,-0.004341511531905096
coal,2030,-0.6233817512264224,-0.6138084138339012,-0.46350425056308875,-0.4539866506358482,-0.2569775566678023,-0.24809094281974498
coal,2035,-0.7581613861523464,-0.7561060458254043,-0.28532608164624396,-0.2804560858202457,0.23415920091703413,0.23591314782434547
coal,2040,-0.7243230287889393,-0.7057445334540837,-0.2239633386144252,-0.1710050408867252,0.33377360191157246,0.33862082222973955
coal,2045,-0.9781030987780431,-0.9764189628721855,-0.9001269859092187,-0.8986369733152467,-0.07384665480024355,-0.058508274094415946
coal,2050,-0.923897169894407,-0.9232855367199587,-0.656015437164476,-0.6543205882789148,-0.016048949512988075,0.14632464617449736
coal,2055,-0.957351133582342,-0.9553859874779664,-0.7810945098331382,-0.7787789491788859,-0.2208483515172528,-0.0017862363867293674
hydro,2028,,,0.003894833192151115,0.0015370326663712852,0.0017912743826158373,0.0011436256499846031
hydro,2030,,,-0.00048502022401664124,-0.0008462716087367372,-1.1868883272647679e-05,-0.00010716171847391376
hydro,2035,,,-0.010243447504509118,-0.0027201431936479947,-0.0035772480622547898,-0.0012793656229604933
hydro,2040,,,-0.0017659513759182843,0.0009324751369517159,0.000537216522374484,0.0013945778056700942
hydro,2045,,,-0.003899224567669668,-0.0013836032941323406,-0.0006091475667195922,0.0013057111956860101
hydro,2050,,,-0.0034199714173238638,0.00017491182778917036,-0.0009192853742777674,0.001060624240645902
hydro,2055,,,-0.004734225227908673,0.001105203483956485,-0.0011827182499204447,0.0014234855916670508
hydrogen,2030,,,,,,
hydrogen,2035,,,72.5379982856854,29.779300310043567,-0.08726033257638699,0.3429547761931717
hydrogen,2040,,,,,,
hydrogen,2045,,,,,,
hydrogen,2050,,,256.6813766862493,224.72017580951322,91.56237084712784,71.84872378562203
hydrogen,2055,,,249.45315899156262,195.079911037133,122.49934975654413,80.04712505530286
natural_gas,2028,0.004247054142362039,0.0035513607295343252,0.007410720106395985,0.0053367598904141555,-0.008494660429616108,-0.0018730300274865108
natural_gas,2030,0.08668716397141951,0.08863258790329698,0.07133918673595341,0.06982087883217725,0.08052742836220061,0.09027730041459825
natural_gas,2035,-0.016897082472383418,0.009593254614785884,-0.03330335335052814,-0.009389596488887708,0.204491663726019,0.0007454852438846249
