,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline
capacity_mw_bucket,year,,,,,,,,,
0000-0149,2028,25.822498751544924,26.11861665614159,26.35425675653324,49129.071148707,49676.127913461,50163.284300395004,0.13436771844785214,0.1361285671415947,0.13761201975801995
0000-0149,2030,30.40492112716881,30.78004039865071,27.052224356865924,59627.82067396,57620.663552538,51628.21978533,0.1565169979934535,0.1579847045613372,0.1398477038572842
0000-0149,2035,22.71667662645681,19.53565090717097,18.925726591609276,47335.846710437,37244.354774154,36928.327812248,0.17117662557549845,0.10133226661005931,0.10051552841654525
0000-0149,2040,15.60844207027345,12.791196388438674,12.707572419670191,33770.799921731,24493.871505487,25294.542763018,0.13263995005495374,0.0654319569706205,0.06710192002813382
0000-0149,2045,11.741978011369724,10.262057020649141,9.761002316624083,24085.087598463,19340.666403733,19031.326169564,0.10888930421289743,0.055007189126610644,0.05435657201184779
0000-0149,2050,10.467752444815378,9.150880670138681,8.92194569822521,21531.379847466,17025.764900541,16973.267568521,0.09638668947723182,0.05221835739312567,0.05219269715206359
0000-0149,2055,10.447382486036368,9.496158558140406,9.22658314624837,21240.535812772,17569.107692138,17512.741159109,0.09705998527644744,0.055807591543000176,0.05436129537596517
0150-0299,2028,33.15136093169352,33.31539999458379,33.4780468903511,75263.686573544,75579.050083641,75985.570778666,0.1521872336317159,0.15217377949377264,0.15300677303317112
0150-0299,2030,38.724046106053464,41.40726781857253,34.10336892663199,90203.340542581,93585.448143019,81961.939284855,0.18443277087016818,0.18852651635815568,0.16900573608298897
0150-0299,2035,28.126533341638204,23.975812170557827,23.42155788876281,68599.962174274,56676.274760217,57572.211692755,0.14009444561054354,0.11658146784279845,0.12014639937346812
0150-0299,2040,21.254266016338594,16.751800953584556,16.089358123272007,52271.35059296,40080.421686161,41104.233423505,0.10821201291521575,0.08461790158076157,0.08765319878291758
0150-0299,2045,15.25490727040673,12.676223981993616,11.805097051905072,36186.625132453,30583.067466754997,28315.34467338,0.07772239510507825,0.06702255971013846,0.0621377476738053
0150-0299,2050,13.938773274905621,11.993722594552224,11.284650759470896,32490.264412357,29020.529822823,27235.498553999,0.07302119607388831,0.06572822934697138,0.06162577759851663
0150-0299,2055,14.483023219411987,12.935555324650394,11.194150088500008,33836.855761642,30794.960378731,26861.229884072,0.07568951154255794,0.06871010422259602,0.06076672180988139
0300-0599,2028,166.44551046823483,167.31075706062782,169.5554625989422,402475.835748628,404481.98660344,410597.591685797,0.28256295694228134,0.28477588977961216,0.2894028110615579
0300-0599,2030,172.1811616160149,173.1504620842203,161.2194249994884,432874.053389568,441256.15035908297,416134.870208405,0.3092543007450291,0.3144831984653942,0.29537878025812964
0300-0599,2035,125.67425417941315,104.95619549289893,101.3317450165953,334271.130926502,291090.053216562,282568.656694265,0.2340972994481626,0.21197087929511074,0.2066676200763877
0300-0599,2040,101.15039043786905,78.00700587791044,76.49089054051672,274106.229176431,222183.514715941,224012.349894848,0.19254854097250682,0.16080902991152823,0.1629044057984107
0300-0599,2045,77.95067065145415,61.929799651812615,58.962133253661364,207076.765004397,171936.186318261,161910.379447733,0.1532880041772069,0.13118046496399308,0.1242962548353485
0300-0599,2050,68.9270807084655,57.2169682881736,54.42643527084797,180193.969309791,155750.890626176,149615.832592091,0.14072139762615535,0.12507767592240318,0.12046578929390568
0300-0599,2055,71.95178555423105,58.92200895212599,55.28069204021326,186985.919661349,159230.983149547,151110.191067746,0.145524762314689,0.1274219287730507,0.12236657386563529
0600-1199,2028,268.5198130622845,269.52554937846514,273.76449639660854,684582.762769489,687152.511440907,698061.297763669,0.4984021549937125,0.5005051568790296,0.5084704139826954
0600-1199,2030,282.0642776455899,280.75644248225416,260.162009781093,712056.777236099,708161.068477325,671965.033094816,0.49244155875408524,0.49391728277432195,0.4976167421709411
0600-1199,2035,191.239385723768,196.51613119749072,183.79668531479865,492120.661803556,519352.905184504,497406.996973,0.3319258941613266,0.36699547210895284,0.3668412235446428
0600-1199,2040,152.38907809460514,148.29824879390236,137.7153776354016,398108.898868673,400482.826756191,383525.147831056,0.2698197764439031,0.28045031132627246,0.2806235121257077
0600-1199,2045,131.06259847050123,117.5735214276202,111.38508775811572,344532.753387411,320781.027498594,306580.849626557,0.23909760411850076,0.23088142131334807,0.2303786526886402
0600-1199,2050,110.25895528173548,103.82630991311068,97.43389051902876,289232.22398697,280045.546202204,267509.484355862,0.21013760733515918,0.20977422356021547,0.2088483327004244
0600-1199,2055,113.25510477934984,107.75725149212899,98.34623150792223,296961.052778593,289312.707650258,268760.297145066,0.21684135683446654,0.21700786929563662,0.21082759052802852
1200-2399,2028,101.2810448729712,101.88647137604165,101.6019064947288,261768.799278015,263273.442287275,262590.328387142,0.6130108505515237,0.6167560813350857,0.6153662542856098
1200-2399,2030,109.20895356634381,110.30334207900509,105.17574250393452,280628.25327626,282835.228572205,270026.637221003,0.6371821114448394,0.6423384842299226,0.6291883299626039
1200-2399,2035,55.980926567715606,89.27472353794658,85.42536466622872,142393.472889427,231753.538683005,222209.312677309,0.39696850612112433,0.527235071145202,0.5227958788119036
1200-2399,2040,51.63035857556604,73.63015428242393,71.75059186982214,132330.08483392998,192582.547782508,187885.066870883,0.3700739956038266,0.4399403998287702,0.44158860825293916
1200-2399,2045,45.24641472050021,64.30078303081818,62.797030925375026,116781.705649226,168547.848052385,164655.218845922,0.3386421371130408,0.4004630886970637,0.40383336330781305
1200-2399,2050,35.19452545185495,52.92200522883387,50.57701663677197,90155.249005952,137698.844718216,132099.998611212,0.2985137557372523,0.3599899145959299,0.35693295252642476
1200-2399,2055,40.69176383248926,55.087241520783756,52.67711563477764,104646.321068854,143851.22848183502,137608.994544434,0.32924657602635443,0.374260285197756,0.3720669236281327
2400-3599,2028,6.24100473639443,6.557453086928154,6.547206647442607,14508.181402286,15014.569975657001,14998.436960656001,0.3099831264178905,0.32106612139647417,0.32071258860455143
2400-3599,2030,6.367202749966542,6.362499729378629,5.753728771536816,15789.815787208,15804.830650454,14764.648129192,0.33623091491253737,0.33652190437844187,0.31386631568055234
2400-3599,2035,0.0,3.6899329093917688,3.7386754071390373,0.0,9468.739871265,9593.818034792,0.0,0.2012861039102956,0.20394501064581685
2400-3599,2040,0.0,3.712040509246202,3.2873660057060485,0.0,9525.47020142,8435.712608878,0.0,0.20249207506228578,0.17932605054458645
2400-3599,2045,0.0,3.641283083069179,3.1769758751613475,0.0,9343.899511957,8152.440404166,0.0,0.1986322524076129,0.1733042610342848
2400-3599,2050,0.0,3.137739440370984,2.1798655466121994,0.0,8051.755756605,5593.754770627,0.0,0.17116391071241804,0.1189118213529204
2400-3599,2055,0.0,4.0329965234844245,3.002000968164955,0.0,10349.075693326,7703.437151524,0.0,0.2200002485762693,0.16375936735295868
3600+,2028,10.532029310846484,10.532029310846484,10.532029310846484,28090.455478176,28090.455478176,28090.455478176,0.8489999999448717,0.8489999999448717,0.8489999999448717
3600+,2030,10.532029310846484,10.532029310846484,10.532029310846484,28090.455478176,28090.455478176,28090.455478176,0.8489999999448717,0.8489999999448717,0.8489999999448717
3600+,2035,6.199324136262234,10.532029310846484,10.532029310846484,16534.500000405,28090.455478176,28090.455478176,0.5000000000122472,0.8489999999448717,0.8489999999448717
3600+,2040,6.19932413625211,10.532029310846484,10.532029310846484,16534.500000378,28090.455478176,28090.455478176,0.5000000000114306,0.8489999999448717,0.8489999999448717
3600+,2045,6.199324135860306,10.532029310846484,10.532029310846484,16534.499999333,28090.455478176,28090.455478176,0.49999999997983,0.8489999999448717,0.8489999999448717
3600+,2050,6.199324135918048,9.010772337465506,7.474597116047459,16534.499999487,24033.041657877,19935.838698189,0.499999999984487,0.7263695806593439,0.6025365828194986
3600+,2055,6.199324136398339,9.616024810084813,6.742229368205887,16534.500000768,25647.338118072,17982.507292891,0.5000000000232241,0.775159736293572,0.5434995065329022
New,2028,103.9883355691525,100.23932368502926,91.12023987647922,301460.6119312281,290270.02064339304,263424.1585395791,0.4764447559448694,0.47526439472405,0.4707284372067348
New,2030,108.77847023668662,106.32644292779203,93.7745632737964,314081.6348123111,303258.34845197306,270040.7556709201,0.5102852251927684,0.5065762055711693,0.4810073713769952
New,2035,87.8124550415518,83.22017311493754,99.47659247538851,270581.73929778405,232096.95725829803,284728.2578108671,0.34601982935492787,0.3185807372057247,0.4006541616238187
New,2040,62.55096190762347,78.8672058743214,94.37030555689945,197611.92123410603,221010.38371235,269032.6925561501,0.25021472250657556,0.24723677642863232,0.26995678308349724
New,2045,69.56471119391571,80.74656010255546,93.3641813278169,208774.61229662102,218471.526067057,256313.4388001501,0.21995456201036628,0.20352947111838926,0.19312426451440237
New,2050,76.94940088787317,84.09220044995402,96.73852443280147,218103.94874244908,220025.00684822004,258218.01904413008,0.1900709619431162,0.1760067364540751,0.16491517422948815
New,2055,97.53721410499757,100.59890314049602,123.54463176624878,265678.2717769211,257000.32175738108,325521.0056001981,0.19204266678843504,0.17273698531896892,0.1568675047335772
total,2028,715.9815977031224,715.4856005486639,712.9536449719322,1817279.4043300732,1813538.16442595,1803911.12389408,0.22915310217893634,0.23068346927588795,0.23111635715267823
total,2030,758.2610623586705,759.6185268307199,697.7730919241935,1933352.1511961631,1930612.193684773,1804612.5588726972,0.25364479718351357,0.2559334982885323,0.23474165534878952
total,2035,517.7495556168058,531.7006486412408,526.6483766713687,1371837.313802385,1405773.279226181,1419098.037173412,0.21098969536020878,0.17529966493212715,0.17516907896857123
total,2040,410.78282123852784,422.5896819906741,422.94349146213466,1104733.784628209,1138449.491838234,1167380.201426514,0.16711620549012496,0.1302623253453527,0.1307041723086927
total,2045,357.02060445400804,361.6622576093649,361.78353781950597,953972.049067904,967094.676796918,973049.4534456481,0.13941709389502188,0.108945912724731,0.10423714337830615
total,2050,321.9358121855681,331.35059892259954,329.0369259798059,848241.5353044721,871651.380532662,877181.6941946311,0.12451328890445552,0.10073875857388005,0.09668069021086709
total,2055,354.5655981129144,358.4461403218948,360.01363452028113,925883.4568608991,933755.7229212881,953060.4038450401,0.1277149018593235,0.10457937860384942,0.0979904895260508
