,,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,co2_emissions_total_million_metric_tons,generation_total_gwh,generation_total_gwh,generation_total_gwh,capacity_factor,capacity_factor,capacity_factor
scenario,,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline,integrated_proposal,proposal,updated_baseline
capacity_mw_bucket,year,,,,,,,,,
0000-0149,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0000-0149,2030,0.1774585186241795,0.17847131047857467,0.02648405556569755,0.21369729326806763,0.1599266281968854,0.029203340757404606,0.16484078022205506,0.16055511255773935,0.016246285049776432
0000-0149,2035,-0.12027581664234943,-0.2520411335576107,-0.2818721177967739,-0.0365002715569801,-0.2502564845827747,-0.2638375192679079,0.2739415951453532,-0.25561350759934065,-0.2695730460660777
0000-0149,2040,-0.3955487336662329,-0.5102651661518633,-0.5178170821865438,-0.31261065735374094,-0.506928729466256,-0.49575584781200577,-0.012858508076617703,-0.519337062421577,-0.5123832921998577
0000-0149,2045,-0.5452811083719302,-0.607097988543888,-0.6296233125905051,-0.5097589464787412,-0.6106647756961718,-0.6206124372639186,-0.18961707863516963,-0.5959173722192,-0.6050012774506937
0000-0149,2050,-0.5946266646952938,-0.6496414495984831,-0.6614609252445166,-0.5617385115567635,-0.657264653754798,-0.6616396273641247,-0.2826648350463783,-0.6164041208278455,-0.6207257386103308
0000-0149,2055,-0.5954155100729237,-0.6364218410507795,-0.6499015991425714,-0.5676585102030569,-0.6463269495814064,-0.6508852758875061,-0.27765399012772374,-0.5900376187391168,-0.6049669536748659
0150-0299,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0150-0299,2030,0.16809823240264987,0.24288670780792843,0.018678569820066437,0.19849750456269133,0.2382458900905855,0.07865136031677933,0.21188069767063755,0.23888962333271535,0.10456375709818655
0150-0299,2035,-0.15157228689370195,-0.2803384568561187,-0.30039055248729973,-0.08853837358549432,-0.25010601883067973,-0.24232704837535823,-0.07945993716159006,-0.2338925389733829,-0.21476417682881943
0150-0299,2040,-0.35887199140536663,-0.49717545170377786,-0.5194057115706707,-0.3054904300776844,-0.46968873461884963,-0.4590521199974248,-0.2889547281141701,-0.4439390158918648,-0.4271286359074131
0150-0299,2045,-0.539840693061181,-0.6195085760923046,-0.6473779641157177,-0.5192020643701368,-0.5953499358233576,-0.6273589263959319,-0.48929753665697184,-0.559565649659893,-0.5938889080398151
0150-0299,2050,-0.5795414461679065,-0.6399946392208382,-0.6629238618241104,-0.5683142044788212,-0.6160241523185741,-0.6415701260791773,-0.5201884262473995,-0.5680712566539023,-0.5972349695581354
0150-0299,2055,-0.5631243239379093,-0.611724447950396,-0.66562714589762,-0.5504225569846585,-0.592546342608816,-0.6464956489921682,-0.5026553165049173,-0.5484760617028125,-0.6028494647311629
0300-0599,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0300-0599,2030,0.0344596326548241,0.03490334468737322,-0.04916407570525416,0.07552805644691074,0.09091669091236154,0.01348590112249215,0.09446158155897244,0.10431820161732275,0.020649312889018834
0300-0599,2035,-0.24495257441385077,-0.3726871043033634,-0.40236814866719905,-0.16946285655947857,-0.2803386483019059,-0.31181121756189933,-0.1715216248392345,-0.2556572136104821,-0.2858824718450018
0300-0599,2040,-0.39229126605266396,-0.5337597698536305,-0.5488739238001176,-0.31894984784222435,-0.45069614451391393,-0.454423614675583,-0.31856410671750446,-0.4353137478177025,-0.43710150844471285
0300-0599,2045,-0.5316745376179397,-0.6298516560452158,-0.6522545935713828,-0.48549267654982964,-0.5749225132074183,-0.6056713854969898,-0.4575084935548761,-0.5393554381815344,-0.570507783323121
0300-0599,2050,-0.5858880151554473,-0.6580197872905441,-0.6790051205864982,-0.5522862410494287,-0.6149373871156432,-0.6356144419215638,-0.5019821453280577,-0.5607855846953873,-0.5837435412184653
0300-0599,2055,-0.5677156725235756,-0.6478289263207707,-0.6739669062094957,-0.5354108171151579,-0.6063335613863582,-0.6319749698303623,-0.48498287288090947,-0.5525536629113426,-0.5771755864541097
0600-1199,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0600-1199,2030,0.05044121113015865,0.041669122388166224,-0.04968681766465921,0.04013249523762985,0.030573354075887238,-0.037383915642445475,-0.011959411049702329,-0.013162450005085424,-0.02134572929571421
0600-1199,2035,-0.28780158326935423,-0.27088125170076294,-0.32863213552524206,-0.2811378133263608,-0.24419558025705224,-0.2874451017890426,-0.33401994586978867,-0.2667498684780697,-0.27853968794116035
0600-1199,2040,-0.4324847900171235,-0.4497803672568963,-0.49695676595006544,-0.41846490954852855,-0.41718494789983573,-0.45058528662206443,-0.45863039768095115,-0.43966549101100205,-0.4481025750787183
0600-1199,2045,-0.5119071588207139,-0.5637759696668883,-0.5931353801380084,-0.4967259298297272,-0.5331734627209026,-0.5608109909420147,-0.5202717289183529,-0.5387032118649053,-0.5469182741938639
0600-1199,2050,-0.5893824220108467,-0.6147811955024761,-0.6440959591127033,-0.5775058331634336,-0.5924550350329513,-0.6167822436040162,-0.5783774102304792,-0.5808750006327763,-0.5892615834526568
0600-1199,2055,-0.578224401813211,-0.6001965240749132,-0.6407633831179996,-0.5662159947217588,-0.578968710972778,-0.6149904055616966,-0.5649269276590466,-0.5664223109131987,-0.5853690111944183
1200-2399,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200-2399,2030,0.0782763319959423,0.08261028760038736,0.03517489122501005,0.07204622571620933,0.07430216323750893,0.0283190507416462,0.039430396495541364,0.04147896335202539,0.02246154315536919
1200-2399,2035,-0.4472714352628564,-0.12378235959853534,-0.1592149437603253,-0.45603344141027236,-0.1197230656097722,-0.15377952401315587,-0.35242825512146614,-0.14514815970050676,-0.150431348532709
1200-2399,2040,-0.49022683721004345,-0.2773313935795222,-0.29380663862302003,-0.49447724404547133,-0.2685075026581356,-0.2844935758872261,-0.3963010682912508,-0.2866865635496685,-0.2823971006249154
1200-2399,2045,-0.5532588079314426,-0.3688977333065404,-0.38193058484947817,-0.5538746177110419,-0.3597992771771057,-0.3729577937723295,-0.4475756231584389,-0.3506945438945892,-0.34375120426999883
1200-2399,2050,-0.6525062957634702,-0.48057868219314603,-0.5022040591394221,-0.6555920749355563,-0.4769740406707498,-0.49693501880825397,-0.5130367505425385,-0.41631720303971176,-0.41996664581356524
1200-2399,2055,-0.5982292255818873,-0.45932722198741904,-0.481534181275323,-0.6002337889103697,-0.45360524315677286,-0.47595558682742334,-0.4629025314476368,-0.39317941642732,-0.39537320898418105
2400-3599,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2400-3599,2030,0.02022078477783995,-0.02973004228397025,-0.12119334528958692,0.08833873449638951,0.05263292096132233,-0.01558754636081594,0.08467489439816167,0.04813894071022795,-0.021347066399195036
2400-3599,2035,-1.0,-0.43729175634555373,-0.42896633504008996,-1.0,-0.3693632327388271,-0.3603454773348338,-1.0,-0.3730696249270913,-0.3640879158089819
2400-3599,2040,-1.0,-0.433920386461337,-0.49789793071673993,-1.0,-0.3655848807615826,-0.43756055174238373,-1.0,-0.3693134791626461,-0.4408512265612965
2400-3599,2045,-1.0,-0.44471076883068605,-0.514758576254455,-1.0,-0.3776778471107606,-0.45644733344204225,-1.0,-0.38133537246575966,-0.4596275070200804
2400-3599,2050,-1.0,-0.5215002839096389,-0.6670541096387002,-1.0,-0.46373717198299746,-0.6270441523139662,-1.0,-0.46688890759341983,-0.6292262119478498
2400-3599,2055,-1.0,-0.3849751618469167,-0.5414836998710646,-1.0,-0.3107311291562215,-0.4863840030976756,-1.0,-0.31478211522480104,-0.4893890256522513
3600+,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3600+,2035,-0.41138369887768766,0.0,0.0,-0.411383698877686,0.0,0.0,-0.411071849181727,0.0,0.0
3600+,2040,-0.4113836988786489,0.0,0.0,-0.4113836988786471,0.0,0.0,-0.4110718491826888,0.0,0.0
3600+,2045,-0.41138369891585014,0.0,0.0,-0.4113836989158485,0.0,0.0,-0.4110718492199098,0.0,0.0
3600+,2050,-0.4113836989103675,-0.1444410121242543,-0.2902984889768876,-0.4113836989103661,-0.14444101212425275,-0.2902984889768867,-0.4110718492144245,-0.14444101212425287,-0.2902984889768867
3600+,2055,-0.41138369886476467,-0.08697321985406148,-0.35983568130955024,-0.41138369886476345,-0.08697321985405704,-0.35983568130954846,-0.4110718491687978,-0.08697321985405704,-0.35983568130954846
New,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New,2030,0.04606415365066274,0.06072586105917521,0.029129899141127513,0.0418662418291722,0.044745674320038065,0.025117654994224248,0.07102705786064889,0.06588292999583878,0.02183622946439079
New,2035,-0.15555475947438058,-0.16978516957645373,0.09170687665261856,-0.10243086961054926,-0.2004101672510048,0.08087374897351007,-0.27374616881087743,-0.32967682674671983,-0.14886348485494372
New,2040,-0.39848097803212823,-0.21321091389106994,0.03566787889085843,-0.3444851054731255,-0.23860416855149824,0.021290887091239608,-0.4748295172010908,-0.4797910822413197,-0.4265126944838953
New,2045,-0.3310335162768808,-0.19446224162209746,0.02462615829786574,-0.3074564170782995,-0.24735070613628063,-0.02699342299829577,-0.5383419394045807,-0.5717552726907653,-0.5897331683201754
New,2050,-0.26001891974988267,-0.16108571607897648,0.06165792104957446,-0.2765093013471195,-0.24199885899161278,-0.019763333493449387,-0.6010640067468603,-0.6296656378892661,-0.6496596313405629
New,2055,-0.06203697202043312,0.003587209512672107,0.355841818828873,-0.11869656843418719,-0.11461637964633264,0.23572950713739904,-0.5969256364096559,-0.6365454950201683,-0.6667558355632464
total,2028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total,2030,0.059051049344258644,0.06168248005021071,-0.02129248255450933,0.06387171207108877,0.06455559169105274,0.00038884120693416513,0.10687917716013584,0.10945747041131204,0.01568603036485383
total,2035,-0.2768675098944545,-0.25686743627892605,-0.2613147006323223,-0.24511480703865518,-0.22484494299508784,-0.21332153320834168,-0.07926319410917027,-0.24008570929512096,-0.2420740741735885
total,2040,-0.42626623008702447,-0.40936661525177465,-0.406772804312144,-0.39209469826382526,-0.37224949870377055,-0.3528615761809234,-0.27072248247535957,-0.43532006972912174,-0.43446593776853293
total,2045,-0.5013550549353021,-0.4945219619625786,-0.49255671757769226,-0.4750548282257241,-0.46673596631861436,-0.460589027609554,-0.3915984877823877,-0.5277255320170507,-0.5489841365514174
total,2050,-0.550357420891344,-0.5368871174087833,-0.5384876305769367,-0.5332354874636517,-0.5193641922564276,-0.5137334192490204,-0.45663712286457214,-0.5633030884696786,-0.5816795859801533
total,2055,-0.5047839228684576,-0.4990169752584489,-0.4950392117927187,-0.4905112253763646,-0.4851193422682366,-0.4716699779600667,-0.4426656211723631,-0.546654214399833,-0.5760123137397968
